signalType,detectedAt,score,entryTime,entryPrice,entryFamily,stop,targetPrice,splitTargetPrices,exitTime,exitPrice,exitReason,holdingHours,grossR,feeCostR,slippageCostR,costsR,netR,symbol,support,relVol,signalLow,dailyAtr,configurationId,stage
0Day,1673046000000,57.329888726168306,1673071200000,1.172586,breakout,1.07659,1.31658,,1673604000000,1.31592171,target-1.5R,148,1.506104421018,0.012961517719,0.012961894246,0.025923411965,1.480181009052,ALICE,1.082,1.637655084654401,1.075,0.04000000000000011,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673035200000,47.58751998113092,1673074800000,46.873425,breakout,44.0586,51.0956625,,1673643600000,51.07011466875,target-1.5R,158,1.508322009361,0.017397802646,0.017398179727,0.034795982373,1.473526026988,DASH,44.28,1.0477106853012677,43.8,1.7914285714285707,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1673049600000,74.83529562272557,1673100000000,1.7378685,breakout,1.51439,,,1674309600000,2.5897045,time-14d,336,3.821396689167,0.009682302772,0.009683258121,0.019365560893,3.802031128274,SNX,1.533,1.6748886442277635,1.522,0.06728571428571446,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1673046000000,57.85739439004519,1673193600000,10.4682315,breakout,9.917165,11.29483125,,1673251200000,11.289183834375,target-1.5R,16,1.509493409598,0.019741188527,0.0197415659,0.039482754427,1.470010655171,ATOM,9.967,1.1508985506456275,9.902,0.31985714285714334,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673035200000,42.70980023792347,1673211600000,1.6358175,breakout,1.473595,1.87915125,,1673560800000,1.878211674375,target-1.5R,97,1.505039374933,0.010830893293,0.010831269553,0.021662162845,1.483377212087,NEAR,1.481,1.6881192468479371,1.48,0.07585714285714297,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673035200000,47.07833868379797,1673222400000,0.5232615,breakout,0.474615,0.59623125,,1673643600000,0.595933134375,target-1.5R,117,1.505375515196,0.011503341806,0.01150371815,0.023007059957,1.48236845524,CELO,0.477,1.037695242951449,0.475,0.02592857142857135,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1673222400000,70.88537434880712,1673258400000,106.703325,breakout,100.16665,,,1674468000000,135.422255,time-14d,336,4.412029051467,0.018520545996,0.018521649004,0.037042195,4.374986856468,BCH,101.57,1.157062030878789,100.67,2.8314285714285736,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1673218800000,54.70740429742913,1673258400000,8.920458,breakout,8.293325,9.8611575,,1673650800000,9.85622692125,target-1.5R,109,1.507108539975,0.014970257442,0.01497063422,0.029940891662,1.477167648313,ZEN,8.335,1.7827854150971176,8.199,0.40478571428571414,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673366400000,57.90263353829852,1673481600000,0.018379185,breakout,0.0171538,0.0202172625,,1673658000000,0.020207153869,target-1.5R,49,1.507495603423,0.015744577773,0.015744954647,0.03148953242,1.476006071003,VET,0.01724,1.4203450775239392,0.01712,0.0006150000000000013,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673380800000,49.04463638720546,1673485200000,0.32846415,breakout,0.3047685,0.364007625,,1673658000000,0.363825621188,target-1.5R,48,1.506927431828,0.01460795064,0.014608327372,0.029216278013,1.477711153815,ADA,0.3063,1.7818575640731829,0.306,0.014785714285714282,breakout:support:fixed:1.5:score0:relvol-1-4,development
