symbol,first_trough_idx,second_trough_idx,first_trough_date,second_trough_date,first_trough_low,second_trough_low,neckline,support_touch_count,breakout_idx,breakout_date,retest_idx,retest_date,entry_idx,entry_date,entry_price,initial_stop,risk_per_unit,target_price,breakeven_trigger,exit_idx,exit_date,exit_price,exit_reason,holding_bars,gross_r,quantity,risk_amount,gross_pnl,entry_fee,exit_fee,fees,net_pnl,net_r,equity_before_entry,equity_after_entry,equity_after_exit,concurrent_open_risk,concurrent_open_risk_pct
SOLUSDT,1105,1119,2023-08-22,2023-09-05,19.35,19.03,22.05,3,1145,2023-10-01,1153,2023-10-09,1154,2023-10-10,22.09,18.8397,3.2502999999999993,28.5906,25.3403,1165,2023-10-21,28.5906,target,12,2.0,329.6085879427141,1071.3267933902034,2142.653586780407,7.2810537076545545,9.423707294434962,16.704761002089516,2125.9488257783173,1.9844074085469035,107132.67933902034,107125.39828531268,111372.58349760127,3214.7883836530746,0.03000754208228012
BTCUSDT,2190,2215,2023-08-17,2023-09-11,25166.0,24901.0,28142.85,3,2250,2023-10-16,2251,2023-10-17,2252,2023-10-18,28395.91,24651.989999999998,3743.920000000002,35883.75,32139.83,2267,2023-11-02,35883.75,target,16,1.9999999999999991,0.2918001440969492,1092.4763954874506,2184.9527909749004,8.285930629764001,10.4708834207389,18.756814050502904,2166.1959769243977,1.9828309205324894,109247.63954874506,109239.3536181153,113535.78422369272,3235.215154813241,0.029613593192278763
DOGEUSDT,1528,1535,2023-09-11,2023-09-18,0.05919,0.06096,0.06297,7,1548,2023-10-01,1570,2023-10-23,1571,2023-10-24,0.06742,0.0585981,0.008821899999999994,0.08506379999999998,0.07624189999999999,1595,2023-11-17,0.08506379999999998,target,25,2.0,126245.57464673296,1113.7258349760127,2227.4516699520254,8.511476642682736,10.73892831263476,19.250404955317496,2208.201264996708,1.9827153107607203,111372.58349760127,111364.07202095859,115752.49696533212,3277.6141963990503,0.029429273286720903
PEPEUSDT,159,166,2023-10-12,2023-10-19,6.1e-07,6.1e-07,7.2e-07,2,169,2023-10-22,170,2023-10-23,171,2023-10-24,1.01e-06,6.039e-07,4.061000000000001e-07,1.8222000000000003e-06,1.4161000000000003e-06,231,2023-12-23,1.58e-06,time,60,1.40359517360256,2742282000.023604,1113.6407202095859,1563.1007400134538,2.7697048200238403,4.3328055600372934,7.102510380061133,1555.9982296333926,1.3972174341295238,111364.07202095859,111361.30231613856,118845.99141794066,4391.254916608636,0.03943152254510061
DOGEUSDT,1587,1592,2023-11-09,2023-11-14,0.06779,0.0688,0.08189,5,1595,2023-11-17,1608,2023-11-30,1609,2023-12-01,0.08344,0.06711210000000001,0.016327899999999992,0.11609579999999999,0.09976789999999999,1642,2024-01-03,0.08344,breakeven,34,0.0,71843.4836782268,1173.0532171497186,0.0,5.9946202781112445,5.9946202781112445,11.989240556222489,-11.989240556222489,-0.010220542751976685,117305.32171497187,117299.32709469376,118839.99679766255,2286.6939373593045,0.019493522577905775
ETHUSDT,2282,2287,2023-11-17,2023-11-22,1904.0,1928.41,2066.4,4,2290,2023-11-25,2296,2023-12-01,2297,2023-12-02,2087.24,1884.96,202.27999999999975,2491.7999999999993,2289.5199999999995,2336,2024-01-10,2491.7999999999993,target,40,2.0,5.798859358052892,1172.9932709469376,2345.9865418938753,12.103611206502318,14.449597748396192,26.55320895489851,2319.433332938977,1.977362863357722,117299.32709469376,117287.22348348725,121171.53374180803,3459.687208306242,0.029494518800719936
ETHUSDT,2308,2334,2023-12-13,2024-01-08,2144.32,2166.38,2445.8,2,2337,2024-01-11,2338,2024-01-12,2339,2024-01-13,2522.55,2122.8768,399.6732000000002,3321.8964000000005,2922.2232000000004,2385,2024-02-28,3321.8964000000005,target,47,2.0,3.0317652957918613,1211.7153374180803,2423.4306748361605,7.64777954689976,10.071210221735921,17.71898976863568,2405.7116850675247,1.9853769369574943,121171.53374180803,121163.88596226113,125967.27104977859,1211.7153374180803,0.01
DOGEUSDT,1642,1647,2024-01-03,2024-01-08,0.075,0.07412,0.08483,2,1659,2024-01-20,1660,2024-01-21,1661,2024-01-22,0.08547,0.07337880000000001,0.012091199999999996,0.1096524,0.0975612,1698,2024-02-28,0.1096524,target,38,2.0,100208.32172345274,1211.6388596226113,2423.2777192452227,8.564805257703506,10.988082976948728,19.552888234652237,2403.7248310105706,1.9838624454148472,121163.88596226113,121155.32115700343,123553.91158516417,2423.3541970406914,0.020000631192990066
SOLUSDT,1268,1273,2024-02-01,2024-02-06,93.11,92.88,102.57,2,1276,2024-02-09,1279,2024-02-12,1280,2024-02-13,111.65,91.9512,19.698800000000006,151.04760000000002,131.3488,1301,2024-03-05,111.65,breakeven,22,0.0,61.50390945489238,1211.5532115700344,0.0,6.866911490638735,6.866911490638735,13.73382298127747,-13.73382298127747,-0.011335715881170425,121155.32115700343,121148.4542455128,130886.85852504204,3634.9074086107257,0.030002045093011652
BTCUSDT,2324,2338,2023-12-29,2024-01-12,41300.0,41500.0,48969.48,2,2369,2024-02-12,2370,2024-02-13,2371,2024-02-14,49699.6,40887.0,8812.599999999999,67324.79999999999,58512.2,2390,2024-03-04,67324.79999999999,target,20,1.9999999999999991,0.13747186329291333,1211.484542455128,2422.969084910255,6.832296616912476,9.25526570182273,16.087562318735205,2406.8815225915196,1.9867207861471068,121148.4542455128,121141.62194889589,130893.72543653268,4846.391951065853,0.040003745662692665
PEPEUSDT,199,247,2023-11-21,2024-01-08,1.03e-06,1.03e-06,1.75e-06,3,296,2024-02-26,297,2024-02-27,298,2024-02-28,2.66e-06,1.0197000000000002e-06,1.6402999999999998e-06,5.9405999999999995e-06,4.3003e-06,302,2024-03-03,5.9405999999999995e-06,target,5,2.0,767952637.016269,1259.6727104977858,2519.3454209955717,2.0427540144632754,4.5620994354588476,6.604853449922123,2512.7405675456494,1.9947566908492347,125967.27104977859,125965.22829576413,128480.01161732424,3682.710464522948,0.02923545484340649
BTCUSDT,2430,2436,2024-04-13,2024-04-19,60660.57,59600.01,66867.07,4,2464,2024-05-17,2465,2024-05-18,2466,2024-05-19,66915.2,59004.009900000005,7911.1900999999925,82737.58019999998,74826.39009999999,2502,2024-06-24,59004.009900000005,stop,37,-1.0,0.16544521983493,1308.8685852504204,-1308.8685852504204,11.070799974298307,9.761931389047886,20.83273136334619,-1329.7013166137667,-1.0159165951403444,130886.85852504204,130875.78772506774,128230.34568662714,1308.8685852504204,0.01
DOGEUSDT,1749,1768,2024-04-19,2024-05-08,0.139,0.14206,0.17,3,1781,2024-05-21,1785,2024-05-25,1786,2024-05-26,0.17402,0.13761,0.03641,0.24684,0.21043,1802,2024-06-11,0.13761,stop,17,-1.0,35945.01173443223,1308.7578772506774,-1308.7578772506774,6.255150942025896,4.9463930647752195,11.201544006801115,-1319.9594212574787,-1.008558912386707,130875.78772506774,130869.53257412571,129555.82830381025,2617.626462501098,0.02000084590130587
ETHUSDT,2430,2461,2024-04-13,2024-05-14,2852.0,2862.0,3357.4,2,2467,2024-05-20,2492,2024-06-14,2493,2024-06-15,3481.8,2823.48,658.3200000000002,4798.4400000000005,4140.120000000001,2513,2024-07-05,2823.48,stop,21,-1.0,1.9679764902146404,1295.5582830381024,-1295.5582830381024,6.852100543629335,5.5565422605912325,12.408642804220568,-1307.966925842323,-1.009577834487787,129555.82830381025,129548.97620326662,126929.23086132845,2604.426868288523,0.020102737965451506
SOLUSDT,1465,1470,2024-08-16,2024-08-21,136.1,138.7,148.83,4,1473,2024-08-24,1501,2024-09-21,1502,2024-09-22,149.42,134.739,14.680999999999983,178.78199999999995,164.10099999999997,1513,2024-10-03,134.739,stop,12,-1.0,86.45816419952905,1269.2923086132846,-1269.2923086132846,12.91857889469363,11.649286586080345,24.567865480773975,-1293.8601740940585,-1.0193555616102445,126929.23086132845,126916.31228243376,125635.3706872344,1269.2923086132846,0.01
BTCUSDT,2603,2610,2024-10-03,2024-10-10,59828.11,58946.0,64478.19,7,2614,2024-10-14,2615,2024-10-15,2616,2024-10-16,67074.14,58356.54,8717.599999999999,84509.34,75791.73999999999,2642,2024-11-11,84509.34,target,27,2.0,0.14411692517118752,1256.353706872344,2512.707413744688,9.666518815301755,12.179226229046444,21.8457450443482,2490.8616687003396,1.9826117876479763,125635.3706872344,125625.7041684191,130609.2705812343,1256.353706872344,0.01
ETHUSDT,2603,2610,2024-10-03,2024-10-10,2310.0,2330.66,2521.0,2,2614,2024-10-14,2615,2024-10-15,2616,2024-10-16,2607.41,2286.9,320.50999999999976,3248.4299999999994,2927.9199999999996,2641,2024-11-10,3248.4299999999994,target,26,2.0,3.919556462151546,1256.257041684191,2512.514083368382,10.219890714978563,12.732404798346945,22.95229551332551,2489.5617878550565,1.9817296184206419,125625.7041684191,125615.48427770413,128108.74239371867,2512.6107485565353,0.020000769469821426
