symbol,split,variant,config_id,trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,total_r
ETHUSDT,development,strong_close,31,26,0.2692307692307692,0.05595285425151257,1.0765670637125964,-10.198625167678717,1.4547742105393269
BTCUSDT,development,bullish_engulfing,0,6,0.16666666666666666,-0.3644977018244759,0.5626027578106291,-2.0000000000000013,-2.186986210946855
ETHUSDT,development,bullish_engulfing,0,5,0.2,-0.22682348799536028,0.7164706400057996,-2.0000000000000018,-1.1341174399768015
BTCUSDT,development,bullish_engulfing,1,6,0.16666666666666666,-0.3606689607976666,0.5671972470428002,-2.000000000000001,-2.1640137647859996
ETHUSDT,development,bullish_engulfing,1,5,0.2,-0.22439984889458478,0.7195001888817689,-2.0000000000000018,-1.1219992444729239
BTCUSDT,development,bullish_engulfing,2,3,0.3333333333333333,0.2710045963510492,1.4065068945265742,-0.999999999999999,0.8130137890531476
ETHUSDT,development,bullish_engulfing,2,2,0.0,-1.0000000000000009,0.0,-0.9999999999999996,-2.0000000000000018
BTCUSDT,development,bullish_engulfing,3,3,0.3333333333333333,0.278662078404667,1.4179931176070002,-0.9999999999999998,0.8359862352140011
ETHUSDT,development,bullish_engulfing,3,2,0.0,-1.0000000000000009,0.0,-1.0000000000000007,-2.0000000000000018
BTCUSDT,development,bullish_engulfing,4,11,0.18181818181818182,-0.3151781740482806,0.6147822317187682,-4.999999999999997,-3.466959914531086
ETHUSDT,development,bullish_engulfing,4,8,0.25,-0.02155367379159895,0.9712617682778681,-2.0000000000000018,-0.1724293903327916
BTCUSDT,development,bullish_engulfing,5,11,0.18181818181818182,-0.30864279226741265,0.6227699205620512,-5.000000000000001,-3.3950707149415393
ETHUSDT,development,bullish_engulfing,5,8,0.25,-0.019919751123677415,0.9734403318350967,-2.0000000000000018,-0.15935800898941932
BTCUSDT,development,bullish_engulfing,6,6,0.16666666666666666,-0.3644977018244752,0.5626027578106295,-2.9999999999999973,-2.186986210946851
ETHUSDT,development,bullish_engulfing,6,4,0.25,-0.009577987588998443,0.9872293498813355,-3.000000000000004,-0.038311950355993774
BTCUSDT,development,bullish_engulfing,7,6,0.16666666666666666,-0.36066896079766647,0.5671972470428003,-3.000000000000001,-2.1640137647859987
ETHUSDT,development,bullish_engulfing,7,4,0.25,-0.009339691129124472,0.9875470784945007,-3.0000000000000036,-0.03735876451649789
BTCUSDT,development,bullish_engulfing,8,6,0.16666666666666666,-0.3644977018244759,0.5626027578106291,-2.0000000000000013,-2.186986210946855
ETHUSDT,development,bullish_engulfing,8,4,0.0,-0.9999999999999999,0.0,-2.999999999999999,-3.9999999999999996
BTCUSDT,development,bullish_engulfing,9,6,0.16666666666666666,-0.3606689607976666,0.5671972470428002,-2.000000000000001,-2.1640137647859996
ETHUSDT,development,bullish_engulfing,9,4,0.0,-0.9999999999999997,0.0,-2.9999999999999982,-3.9999999999999987
BTCUSDT,development,bullish_engulfing,10,3,0.3333333333333333,0.2710045963510492,1.4065068945265742,-0.999999999999999,0.8130137890531476
ETHUSDT,development,bullish_engulfing,10,2,0.0,-1.0000000000000009,0.0,-0.9999999999999996,-2.0000000000000018
BTCUSDT,development,bullish_engulfing,11,3,0.3333333333333333,0.278662078404667,1.4179931176070002,-0.9999999999999998,0.8359862352140011
ETHUSDT,development,bullish_engulfing,11,2,0.0,-1.0000000000000009,0.0,-1.0000000000000007,-2.0000000000000018
BTCUSDT,development,bullish_engulfing,12,9,0.1111111111111111,-0.576331801216317,0.35162672363164327,-4.186986210946852,-5.186986210946853
ETHUSDT,development,bullish_engulfing,12,7,0.14285714285714285,-0.43404456433656996,0.4936146749406684,-4.000000000000002,-3.0383119503559897
BTCUSDT,development,bullish_engulfing,13,9,0.1111111111111111,-0.573779307198444,0.3544982794017503,-4.164013764785995,-5.164013764785996
ETHUSDT,development,bullish_engulfing,13,7,0.14285714285714285,-0.4339083949309277,0.4937735392472509,-4.0,-3.037358764516494
BTCUSDT,development,bullish_engulfing,14,5,0.2,-0.23739724218937025,0.703253447263287,-1.9999999999999971,-1.1869862109468512
ETHUSDT,development,bullish_engulfing,14,4,0.25,-0.009577987588998443,0.9872293498813355,-3.000000000000004,-0.038311950355993774
BTCUSDT,development,bullish_engulfing,15,5,0.2,-0.2328027529571998,0.7089965588035003,-2.000000000000001,-1.164013764785999
ETHUSDT,development,bullish_engulfing,15,4,0.25,-0.009339691129124472,0.9875470784945007,-3.0000000000000036,-0.03735876451649789
BTCUSDT,development,bullish_engulfing,16,13,0.3076923076923077,0.19163506973727515,1.2768062118427304,-5.000000000000012,2.491255906584577
ETHUSDT,development,bullish_engulfing,16,9,0.3333333333333333,0.2954485257519608,1.443172788627941,-2.0000000000000018,2.6590367317676473
BTCUSDT,development,bullish_engulfing,17,13,0.3076923076923077,0.19543651545652674,1.282297188992761,-4.999999999999993,2.5406747009348476
ETHUSDT,development,bullish_engulfing,17,9,0.4444444444444444,0.7355857909141229,2.324054423645422,-2.0000000000000018,6.620272118227106
BTCUSDT,development,bullish_engulfing,18,7,0.42857142857142855,0.6522363162018253,2.1414135533531953,-2.999999999999999,4.5656542134127776
ETHUSDT,development,bullish_engulfing,18,5,0.4,0.5586308343488895,1.9310513905814817,-2.0000000000000018,2.7931541717444475
BTCUSDT,development,bullish_engulfing,19,7,0.42857142857142855,0.6587581475155344,2.1528267581521856,-2.9999999999999982,4.611307032608741
ETHUSDT,development,bullish_engulfing,19,5,0.4,0.5616516735057334,1.936086122509555,-2.0000000000000013,2.808258367528667
BTCUSDT,development,bullish_engulfing,20,19,0.3157894736842105,0.21826339941660192,1.319000352993495,-4.156580991400524,4.147004588915436
